age,income,gender_male,education,race_Non-Hispanic Asian,race_Non-Hispanic Black,race_Non-Hispanic White,race_Other Hispanic,race_Other Race,marital_status_Never married,marital_status_Widowed/Divorced/Separated,num_meals_not_home,num_meals_fast_food,num_ready_foods_30_days,num_frozen_foods_30_days,num_home_cook
0.4,1.0,0,0.5,0,0,1,0,0,0,0,0.09523809523809523,0.0,0.07777777777777778,0.0,0.826984126984127
0.6333333333333333,0.9720000000000001,0,1.0,0,0,0,0,0,0,0,0.047619047619047616,0.0,0.0,0.0,0.9523809523809523
0.9333333333333333,0.47400000000000003,1,0.75,1,0,0,0,0,0,0,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571
0.35,1.0,0,0.75,0,0,0,1,0,0,0,0.09523809523809523,0.0,0.0,0.0,0.9047619047619048
0.5666666666666667,0.2,0,0.25,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0
0.5833333333333334,0.022,0,0.5,0,1,0,0,0,1,0,0.47619047619047616,0.47619047619047616,0.022222222222222223,0.0,0.025396825396825466
0.25,0.73,1,1.0,0,0,0,0,0,0,0,0.09523809523809523,0.047619047619047616,0.0,0.0,0.8571428571428571
0.4666666666666667,0.236,0,0.75,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
0.4,0.22599999999999998,1,0.75,0,0,0,0,1,0,0,0.19047619047619047,0.19047619047619047,0.23333333333333334,0.0,0.3857142857142858
0.38333333333333336,0.21600000000000003,0,0.75,0,0,1,0,0,0,1,0.047619047619047616,0.047619047619047616,0.0,0.011111111111111112,0.8936507936507935
0.7166666666666667,1.0,0,1.0,0,0,1,0,0,0,0,0.19047619047619047,0.0,0.13333333333333333,0.0,0.6761904761904762
0.65,0.25,1,0.25,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,1.0
0.48333333333333334,0.22999999999999998,0,0.75,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0
1.0,0.414,0,0.25,0,0,0,1,0,0,1,0.047619047619047616,0.0,0.0,0.0,0.9523809523809523
0.7,0.9119999999999999,1,1.0,1,0,0,0,0,0,0,0.23809523809523808,0.14285714285714285,0.011111111111111112,0.044444444444444446,0.5634920634920634
0.16666666666666666,0.244,0,0.75,0,0,1,0,0,1,0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.7142857142857142
0.05,0.742,1,0.75,0,0,1,0,0,1,0,0.23809523809523808,0.14285714285714285,0.1111111111111111,0.16666666666666666,0.3412698412698412
0.35,0.514,1,0.5,0,0,1,0,0,0,1,0.09523809523809523,0.09523809523809523,0.022222222222222223,0.18888888888888888,0.5984126984126985
0.26666666666666666,1.0,1,1.0,0,0,1,0,0,1,0,0.19047619047619047,0.0,0.0,0.0,0.8095238095238095
0.7666666666666667,0.304,0,0.5,0,0,1,0,0,0,0,0.09523809523809523,0.0,0.0,0.0,0.9047619047619048
0.8333333333333334,0.33999999999999997,0,0.5,0,0,0,0,0,0,0,0.09523809523809523,0.0,0.022222222222222223,0.0,0.8825396825396825
0.6,1.0,1,0.75,0,0,0,0,1,0,0,0.047619047619047616,0.0,0.011111111111111112,0.0,0.9412698412698413
0.4,0.58,0,1.0,0,1,0,0,0,0,0,0.23809523809523808,0.23809523809523808,0.0,0.0,0.5238095238095237
0.6,0.32799999999999996,0,0.0,0,0,0,1,0,0,0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.9047619047619047
0.9333333333333333,0.178,1,0.75,0,1,0,0,0,0,1,0.0,0.0,0.0,0.03333333333333333,0.9666666666666667
0.15,0.034,0,0.75,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0
0.6,0.784,1,0.75,0,1,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
0.2833333333333333,0.476,0,1.0,1,0,0,0,0,0,1,0.047619047619047616,0.0,0.0,0.0,0.9523809523809523
0.45,0.554,0,0.5,0,0,1,0,0,0,0,0.09523809523809523,0.09523809523809523,0.0,0.044444444444444446,0.7650793650793651
0.16666666666666666,1.0,1,1.0,0,0,0,0,1,0,0,0.09523809523809523,0.0,0.011111111111111112,0.0,0.8936507936507937
0.05,0.182,0,1.0,0,0,0,1,0,0,0,0.47619047619047616,0.38095238095238093,0.0,0.0,0.1428571428571429
0.2,0.122,0,0.5,0,0,0,0,0,0,0,0.09523809523809523,0.047619047619047616,0.0,0.0,0.8571428571428571
